iter	Passed	Remaining
0	1	1593
1	2	1171
2	3	1037
3	3	954
4	4	907
5	5	922
6	6	925
7	7	909
8	8	887
9	8	874
10	9	860
11	10	849
12	11	844
13	11	839
14	12	834
15	13	829
16	14	844
17	15	840
18	16	834
19	16	832
20	17	830
21	18	829
22	19	827
23	21	860
24	22	859
25	22	854
26	23	849
27	24	845
28	25	841
29	25	837
30	26	834
31	27	831
32	28	829
33	29	834
34	30	832
35	31	831
36	31	830
37	32	829
38	33	830
39	34	838
40	35	838
41	36	836
42	37	833
43	38	832
44	39	830
45	39	828
46	40	827
47	41	825
48	42	824
49	43	828
50	44	828
51	45	826
52	46	824
53	47	823
54	47	823
55	48	822
56	49	826
57	51	829
58	51	828
59	52	826
60	53	824
61	54	821
62	55	819
63	55	818
64	56	816
65	57	815
66	58	818
67	59	817
68	60	816
69	61	814
70	62	814
71	62	811
72	63	809
73	64	810
74	65	810
75	66	807
76	67	804
77	67	801
78	68	798
79	69	795
80	69	792
81	70	790
82	70	784
83	71	781
84	72	778
85	73	777
86	74	779
87	75	778
88	75	777
89	76	775
90	77	772
91	78	771
92	79	771
93	80	773
94	81	775
95	82	773
96	82	770
97	83	767
98	84	765
99	84	762
100	85	759
101	86	757
102	86	755
103	87	753
104	88	752
105	89	754
106	90	752
107	90	750
108	91	747
109	92	745
110	92	742
111	93	740
112	94	738
113	94	736
114	95	736
115	96	736
116	97	733
117	97	731
118	98	730
119	99	727
120	99	725
121	100	722
122	101	720
123	101	719
124	102	718
125	103	718
126	104	717
127	105	715
128	105	714
129	106	712
130	107	711
131	107	709
132	108	707
133	109	705
134	110	705
135	111	707
136	112	707
137	112	705
138	113	703
139	114	701
140	114	699
141	115	698
142	116	697
143	117	696
144	117	695
145	118	695
146	119	694
147	120	693
148	121	692
149	122	691
150	122	689
151	123	687
152	123	686
153	124	684
154	125	683
155	126	683
156	127	682
157	127	681
158	128	679
159	129	678
160	129	675
161	130	674
162	131	673
163	131	672
164	132	672
165	133	672
166	134	671
167	135	671
168	136	671
169	137	671
170	138	670
171	139	669
172	139	668
173	140	667
174	141	665
175	141	664
176	142	663
177	143	662
178	144	661
179	145	661
180	146	661
181	147	661
182	148	662
183	149	662
184	150	661
185	150	660
186	151	659
187	152	657
188	153	656
189	153	655
190	154	654
191	155	654
192	156	654
193	157	654
194	158	653
195	158	652
196	159	650
197	160	649
198	161	648
199	161	647
200	163	648
201	164	648
202	164	647
203	165	646
204	166	645
205	167	645
206	168	644
207	168	642
208	169	641
209	170	641
210	171	642
211	172	640
212	173	639
213	173	637
214	174	636
215	175	635
216	175	634
217	176	632
218	177	631
219	178	631
220	178	630
221	179	629
222	180	628
223	180	626
224	181	625
225	182	624
226	182	623
227	183	621
228	184	620
229	185	621
230	186	621
231	187	620
232	188	619
233	188	618
234	189	616
235	190	615
236	190	613
237	191	612
238	191	611
239	192	610
240	193	610
241	194	609
242	195	607
243	195	606
244	196	605
245	197	604
246	197	603
247	199	603
248	200	603
249	200	602
250	201	601
251	202	600
252	202	599
253	203	598
254	204	596
255	204	595
256	205	594
257	206	593
258	206	592
259	208	592
260	209	592
261	209	590
262	210	589
263	211	588
264	211	587
265	212	586
266	213	584
267	213	583
268	214	582
269	215	582
270	216	581
271	216	580
272	217	579
273	218	578
274	218	576
275	219	575
276	220	574
277	220	573
278	221	572
279	222	571
280	222	570
281	223	570
282	224	569
283	225	568
284	226	567
285	226	566
286	227	565
287	228	564
288	229	563
289	229	562
290	230	562
291	231	561
292	232	560
293	232	559
294	233	558
295	234	557
296	234	556
297	235	555
298	236	553
299	236	552
300	237	552
301	238	552
302	239	550
303	240	550
304	241	551
305	243	552
306	245	554
307	246	553
308	247	552
309	247	551
310	248	550
311	249	549
312	249	547
313	250	546
314	250	545
315	251	544
316	252	544
317	253	543
318	254	543
319	255	541
320	255	540
321	256	539
322	257	538
323	257	537
324	258	536
325	259	535
326	260	535
327	260	534
328	261	533
329	262	532
330	262	531
331	263	530
332	264	529
333	264	528
334	265	527
335	266	526
336	267	525
337	268	525
338	268	524
339	269	523
340	270	522
341	271	521
342	271	520
343	272	519
344	273	518
345	273	517
346	274	516
347	275	516
348	276	515
349	276	514
350	277	513
351	278	512
352	278	511
353	279	510
354	280	509
355	281	508
356	281	507
357	282	507
358	283	506
359	284	506
360	285	505
361	286	504
362	286	503
363	287	502
364	288	501
365	288	500
366	289	499
367	290	499
368	291	498
369	291	497
370	292	496
371	293	495
372	293	493
373	294	492
374	295	491
375	295	491
376	296	490
377	297	489
378	298	488
379	299	487
380	299	487
381	300	486
382	301	485
383	301	484
384	302	483
385	303	482
386	303	481
387	304	480
388	305	480
389	306	479
390	306	478
391	307	477
392	308	476
393	308	475
